emp_no,first_name,last_name,title,from_date,salary,count
206731,Phuoc,Ramras,Senior Engineer,2002-08-01,47835,15600
461960,Remko,Ramsay,Senior Staff,2002-08-01,45705,14736
96599,Kwee,Salverda,Senior Engineer,2002-08-01,40000,15600
259430,Yechiam,Kobara,Senior Engineer,2002-08-01,42235,15600
263088,Xianlong,Undy,Senior Staff,2002-07-31,41440,14736
417555,Zejun,Coors,Senior Engineer,2002-07-31,60173,15600
56227,Shen,Makrucki,Senior Staff,2002-07-31,52748,14736
445728,Herb,Lorin,Engineer,2002-07-31,43208,16111
106648,Khue,Masamoto,Senior Engineer,2002-07-31,55524,15600
37664,Dines,Sundgren,Senior Engineer,2002-07-31,40000,15600
459158,Naftali,Anger,Senior Staff,2002-07-31,79635,14736
289182,Gio,Nicolson,Senior Staff,2002-07-31,40000,14736
96196,Berthier,Zambonelli,Senior Engineer,2002-07-30,45838,15600
458538,Zissis,Prenel,Senior Staff,2002-07-30,40000,14736
240083,Huan,Kroon,Senior Engineer,2002-07-29,40726,15600
45217,Marsal,Pena,Senior Staff,2002-07-29,40000,14736
221086,Baziley,Motley,Senior Staff,2002-07-29,40000,14736
32261,Bernt,Dehkordi,Senior Engineer,2002-07-29,61148,15600
442133,Bernd,Angel,Senior Staff,2002-07-28,85908,14736
248336,Amstein,Vitiello,Senior Staff,2002-07-28,76219,14736
299091,Kinh,Angel,Senior Engineer,2002-07-28,40000,15600
73758,Serenella,Sevcikova,Senior Engineer,2002-07-28,44201,15600
53092,Tetsushi,England,Senior Staff,2002-07-28,81343,14736
109167,Uli,Harllee,Senior Staff,2002-07-27,40000,14736
60488,Yakkov,Staylopatis,Senior Engineer,2002-07-27,55530,15600
98445,Spyrose,Constantine,Senior Engineer,2002-07-27,65189,15600
203484,Guttorm,Gyimothy,Senior Staff,2002-07-27,57018,14736
13210,Jianhua,Klassen,Senior Staff,2002-07-27,83961,14736
16130,Kerryn,Belinskaya,Engineer,2002-07-26,40000,16111
235740,Arco,Baer,Senior Staff,2002-07-26,86294,14736
205524,Dante,Reistad,Senior Engineer,2002-07-25,44416,15600
474376,Jovan,Bage,Senior Engineer,2002-07-24,46646,15600
413166,Koldo,Salverda,Senior Staff,2002-07-24,61714,14736
467524,Youngkon,Pearson,Senior Staff,2002-07-24,79405,14736
299587,Visit,Schaad,Senior Engineer,2002-07-24,63186,15600
474386,Collette,Ohori,Engineer,2002-07-23,44880,16111
454271,Uta,Sullins,Senior Engineer,2002-07-22,40000,15600
467443,Xiadong,Ramamoorthy,Senior Engineer,2002-07-21,40000,15600
278523,Berni,Back,Senior Staff,2002-07-21,75523,14736
86342,Marit,Boguraev,Senior Engineer,2002-07-21,57263,15600
259457,Alper,Garnier,Senior Engineer,2002-07-21,62540,15600
456169,Kinh,Perl,Senior Engineer,2002-07-20,43729,15600
269157,Leaf,Asrin,Senior Staff,2002-07-20,84354,14736
280247,Lorien,Desikan,Senior Engineer,2002-07-19,40000,15600
101845,Giordano,Pouyioutas,Senior Staff,2002-07-19,40000,14736
202006,Gritta,Peac,Engineer,2002-07-19,49739,16111
293048,Berhard,Simmen,Senior Staff,2002-07-19,40000,14736
86081,Valery,Iwayama,Senior Staff,2002-07-19,53594,14736
474569,Paraskevi,Nyanchama,Senior Staff,2002-07-18,92009,14736
70602,Hongzhu,Maquelin,Senior Engineer,2002-07-18,40000,15600
62443,Conrado,Pluym,Senior Engineer,2002-07-18,57970,15600
448254,Hironobu,Gischer,Senior Engineer,2002-07-17,60178,15600
232134,Malu,Suwa,Senior Engineer,2002-07-17,48500,15600
67761,Jagoda,Rothe,Senior Staff,2002-07-14,40000,14736
488057,Gennady,Schonegge,Senior Engineer,2002-07-14,40501,15600
